t,n,rate,evt_rate,drop,ap_hz,pos_mm,d_tick
58.79,970,14.722383491345873,343.04464818798203,6002,538.0,53.68359375,748
59.82,981,11.31928375770824,261.93266796107685,6182,511.0,56.30859375,473
60.84,996,13.12052553374521,363.50431457657476,6288,490.0,58.876953125,712
61.84,1011,11.405530492762608,348.4755507367389,6411,477.0,59.36328125,524
62.87,1026,10.894352697936093,354.00564039544753,6525,457.0,56.97265625,592
63.87,1042,15.19003918557739,366.19366139381674,6631,440.0,54.59765625,599
64.89,1054,20.713226070895928,281.87184855321163,6711,60.0,53.625,752
65.92,1069,22.62775880578978,350.85509036912356,6711,60.0,53.962890625,640
66.94,1085,14.677407389262543,381.80790420978644,6711,60.0,54.29296875,715
67.97,1100,15.506547473806407,352.1379195508155,6714,518.0,55.830078125,574
68.97,1113,15.22079807231714,352.1379195508155,6816,500.0,58.240234375,681
69.99,1124,14.187824522117397,317.19246995273465,7031,480.0,60.82421875,739
70.99,1140,14.496158485375286,262.0938646205934,7127,489.0,60.439453125,648
72.01,1155,12.564078446408834,379.68054558682024,7232,472.0,58.0234375,627
73.04,1170,12.261680494407512,335.4584586088085,7348,451.0,55.580078125,798
74.05,1185,14.711694142406174,346.17219089628355,7355,60.0,55.005859375,598
75.07,1195,15.599050884774734,359.7355783491015,7402,60.0,55.263671875,330
76.08,1210,12.918946723217614,254.93161993902157,7402,60.0,55.611328125,935
77.1,1225,22.516730640182526,351.60771373982254,7498,508.0,57.453125,605
78.12,1240,14.92348089690949,349.68617278363917,7598,486.0,59.998046875,513
79.13,1255,12.915883476011578,358.72914401271703,7703,468.0,62.3515625,708
80.15,1266,13.19635789301468,348.6116802214197,7909,491.0,61.306640625,666
81.16,1280,14.848933496185369,261.81951487680396,8007,477.0,58.91015625,570
82.16,1294,11.632684531370472,329.4481178983748,8107,458.0,56.51953125,433
83.19,1308,16.04713552227842,346.58004476770554,8107,60.0,56.060546875,604
84.21,1323,22.54590021178924,326.21269517574063,8107,60.0,56.41015625,798
85.22,1333,12.381307175265157,329.1561822085282,8153,507.0,56.658203125,952
86.23,1348,13.71292563712749,256.3374470620754,8271,493.0,58.8203125,576
87.25,1362,15.04618276522625,339.6876029220411,8382,474.0,61.232421875,921
88.28,1377,15.498525640551906,359.04774496198723,8482,505.0,63.5390625,691
89.28,1391,14.445135538174892,335.509725219444,8584,498.0,61.95703125,697
