t,tick,n,rate,evt_rate,drop,ap_hz,pos_mm,vel_mm_s,wire10,wire12,d_tick
39.69,159982858,168864,12.22020412147063,280.9731187844329,1178792,60.0,59.33203125,-1.775568181818182,1.0,60.0,818
40.71,159992603,168877,12.83438901842706,318.2140063860193,1178816,483.0,59.62890625,1.953125,1.0,60.0,839
41.71,160002583,168891,11.441153525114704,332.75340626386287,1178956,469.0,61.625,1.953125,1.0,475.015625,812
42.74,160012915,168905,13.624593955458538,327.15171023354446,1179114,456.0,64.033203125,4.438920454545455,1.0,456.03125,734
43.74,160023234,168919,12.892539221954458,325.6256841314318,1179245,525.0,66.298828125,0.48828125,1.0,437.296875,776
44.77,160033619,168930,12.476734985275307,254.20812077509288,1179482,525.0,64.125,-1.953125,1.0,525.0625,801
45.77,160042901,168942,11.684176804383616,254.20812077509288,1179621,498.0,61.7890625,-0.9765625,1.0,505.265625,928
46.77,160053116,168955,11.855684323590932,308.7359101298338,1179731,483.0,59.474609375,-0.9765625,1.0,486.78125,844
47.8,160063271,168970,18.945318216721624,306.8155298559638,1179731,60.0,59.125,-0.23251488095238096,1.0,60.0,527
48.82,160073664,168984,11.518572833077933,350.2641311952433,1179731,60.0,59.43359375,3.90625,1.0,60.0,869
49.83,160083385,168994,11.198278462898045,330.1462712525113,1179731,0.0,59.642578125,-0.04035382231404959,1.0,0.0,892
50.83,160093817,169008,18.996028061721294,247.22979252989742,1179856,469.0,61.880859375,1.775568181818182,1.0,475.0625,524
51.85,160104362,169022,13.862626502997733,327.8206317581831,1179991,450.0,64.234375,1.953125,1.0,455.625,805
52.86,160114301,169035,16.494954341311477,315.13082071444813,1180116,523.0,66.498046875,3.551136363636364,1.0,436.453125,606
53.86,160124328,169049,13.84628894192837,316.2245793260735,1180253,517.0,63.92578125,-1.953125,1.0,520.109375,721
54.86,160134057,169060,19.45816149010693,351.8495767061256,1180476,502.0,61.296875,-1.953125,1.0,502.40625,514
55.89,160144542,169074,11.49077161212553,258.8976054520892,1180557,0.0,59.109375,-4.438920454545455,1.0,484.0,871
56.89,160154254,169086,12.388328523875488,320.2006843950788,1180557,60.0,59.037109375,-0.887784090909091,1.0,60.0,715
57.91,160164497,169100,13.458811449107944,291.05525549516784,1180557,60.0,59.35546875,0.887784090909091,1.0,60.0,742
58.94,160174779,169114,11.668574194679138,330.1274422049928,1180557,483.0,59.66796875,-0.48828125,1.0,483.828125,857
59.94,160184888,169124,11.75751119882041,329.0575766526299,1180797,475.0,62.14453125,1.953125,1.0,481.75,850
60.97,160195506,169138,15.765630109644754,246.47942714541668,1180942,448.0,64.50390625,1.953125,1.0,453.625,634
61.99,160205830,169152,15.044725580994946,321.4864082659752,1181077,531.0,66.185546875,-3.90625,1.0,526.0,737
63.0,160215923,169165,15.258117792571575,310.8492698179662,1181214,518.0,63.5546875,-4.438920454545455,1.0,518.453125,656
64.02,160225749,169179,20.68329823903899,326.5570047200962,1181341,494.0,60.96875,-4.340277777777778,1.0,496.5625,483
65.05,160235655,169189,14.713448815362057,268.84148345186475,1181404,0.0,59.423828125,-1.953125,1.0,485.375,679
66.05,160246270,169204,13.983996585938334,324.81528446912245,1181404,60.0,59.126953125,3.90625,1.0,60.0,717
67.05,160256383,169218,14.257950253762242,344.31996468207825,1181404,60.0,59.408203125,0.48828125,1.0,60.0,693
68.06,160266156,169232,11.894584301080757,345.1147350641455,1181404,482.0,59.97265625,3.90625,1.0,483.546875,902
69.08,160276334,169246,10.146118677278116,332.894165401343,1181548,462.0,62.408203125,1.6276041666666667,1.0,470.28125,927
70.1,160286624,169257,11.718846305366418,254.75085751227687,1181770,444.0,64.751953125,2.7901785714285716,1.0,453.828125,914
